epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,97.2278,0.77093,0.40484,0.97283,0.99759,1,0.995,0.76223,0.91697,0.39061,1.1443,0.000820675,0.000820675,0.000820675
45,99.4337,0.77323,0.40352,0.96915,0.99779,1,0.995,0.74769,0.93329,0.37538,1.14006,0.000806528,0.000806528,0.000806528
46,101.636,0.78133,0.3993,0.96791,0.9977,1,0.995,0.75903,0.94207,0.42323,1.11083,0.00079238,0.00079238,0.00079238
47,103.835,0.7404,0.37835,0.95341,0.99814,1,0.995,0.76774,0.91404,0.39026,1.11142,0.000778233,0.000778233,0.000778233
48,106.047,0.73922,0.38216,0.95349,0.99803,1,0.995,0.76033,0.92177,0.37914,1.10466,0.000764086,0.000764086,0.000764086
49,108.252,0.74703,0.38228,0.95059,0.99826,1,0.995,0.75573,0.91097,0.37701,1.14682,0.000749939,0.000749939,0.000749939
50,110.45,0.75424,0.36878,0.96685,0.99843,1,0.995,0.736,0.94771,0.37112,1.14075,0.000735792,0.000735792,0.000735792
51,112.647,0.73839,0.37323,0.96163,0.99822,1,0.995,0.75447,0.91527,0.37685,1.09628,0.000721645,0.000721645,0.000721645
52,114.854,0.75076,0.37836,0.9558,0.99812,1,0.995,0.75927,0.94454,0.40459,1.08996,0.000707498,0.000707498,0.000707498
53,117.061,0.73772,0.37349,0.95189,0.99808,1,0.995,0.75539,0.93246,0.3737,1.12996,0.000693351,0.000693351,0.000693351
54,119.273,0.72442,0.36201,0.95615,0.99799,1,0.995,0.76871,0.91122,0.39142,1.11852,0.000679204,0.000679204,0.000679204
55,121.471,0.73383,0.36699,0.9567,0.99818,1,0.995,0.77419,0.90439,0.37294,1.14069,0.000665057,0.000665057,0.000665057
56,123.737,0.71703,0.35637,0.9543,0.99822,1,0.995,0.75402,0.9368,0.36008,1.14023,0.000650909,0.000650909,0.000650909
57,125.997,0.72686,0.36652,0.95323,0.9981,1,0.995,0.7506,0.95807,0.38974,1.14055,0.000636762,0.000636762,0.000636762
58,128.203,0.73094,0.37003,0.94809,0.99786,1,0.995,0.73924,0.96019,0.40327,1.15302,0.000622615,0.000622615,0.000622615
59,130.401,0.73713,0.36817,0.95583,0.99822,1,0.995,0.76134,0.91043,0.38001,1.1265,0.000608468,0.000608468,0.000608468
60,132.61,0.72975,0.36665,0.96289,0.99802,1,0.995,0.76833,0.95907,0.36292,1.16667,0.000594321,0.000594321,0.000594321
61,134.826,0.71662,0.36203,0.9586,0.99827,1,0.995,0.74419,0.96287,0.37238,1.19161,0.000580174,0.000580174,0.000580174
62,137.04,0.71887,0.35776,0.95316,0.99799,1,0.995,0.75163,0.9546,0.37115,1.16562,0.000566027,0.000566027,0.000566027
63,139.25,0.71775,0.35278,0.93973,0.99842,1,0.995,0.7695,0.90009,0.35097,1.13492,0.00055188,0.00055188,0.00055188
64,141.466,0.70001,0.35059,0.94578,0.99826,1,0.995,0.75225,0.96304,0.37775,1.17655,0.000537733,0.000537733,0.000537733
65,143.687,0.71729,0.35304,0.95825,0.99816,1,0.995,0.74361,0.9591,0.3676,1.18728,0.000523586,0.000523586,0.000523586
66,145.907,0.7111,0.34829,0.95291,0.9981,1,0.995,0.76126,0.90602,0.35823,1.12497,0.000509438,0.000509438,0.000509438
67,148.113,0.70503,0.34506,0.94466,0.99849,1,0.995,0.73885,0.92078,0.36746,1.1472,0.000495291,0.000495291,0.000495291
68,150.318,0.71007,0.34697,0.94667,0.99818,1,0.995,0.77626,0.89512,0.34669,1.12217,0.000481144,0.000481144,0.000481144
69,152.529,0.72636,0.35003,0.95172,0.99829,1,0.995,0.76861,0.92154,0.36866,1.15418,0.000466997,0.000466997,0.000466997
70,154.742,0.70867,0.33879,0.94917,0.99817,1,0.995,0.7566,0.92797,0.37204,1.14411,0.00045285,0.00045285,0.00045285
71,156.958,0.7057,0.339,0.94294,0.99799,1,0.995,0.75181,0.9248,0.37569,1.1487,0.000438703,0.000438703,0.000438703
72,159.171,0.70018,0.34354,0.95368,0.99821,1,0.995,0.7501,0.91349,0.36221,1.13637,0.000424556,0.000424556,0.000424556
73,161.384,0.70443,0.34369,0.95642,0.99817,1,0.995,0.74365,0.96136,0.35824,1.18921,0.000410409,0.000410409,0.000410409
74,163.589,0.69948,0.33499,0.94923,0.99806,1,0.995,0.76355,0.92244,0.33254,1.16316,0.000396262,0.000396262,0.000396262
75,165.792,0.69469,0.32957,0.94065,0.99837,1,0.995,0.75272,0.96754,0.36689,1.18509,0.000382115,0.000382115,0.000382115
76,168.006,0.70932,0.33383,0.93923,0.9982,1,0.995,0.76308,0.932,0.34566,1.1511,0.000367967,0.000367967,0.000367967
77,170.228,0.68527,0.32391,0.9361,0.99821,1,0.995,0.75955,0.94669,0.34718,1.16625,0.00035382,0.00035382,0.00035382
78,172.44,0.68549,0.32527,0.9419,0.9982,1,0.995,0.75271,0.94109,0.35449,1.18104,0.000339673,0.000339673,0.000339673
79,174.651,0.70521,0.33292,0.95569,0.9984,1,0.995,0.76292,0.91854,0.3511,1.16294,0.000325526,0.000325526,0.000325526
80,176.87,0.67765,0.32892,0.93944,0.99819,1,0.995,0.77653,0.8863,0.35136,1.12704,0.000311379,0.000311379,0.000311379
81,179.083,0.67435,0.32733,0.93194,0.9983,1,0.995,0.76927,0.90716,0.34278,1.15288,0.000297232,0.000297232,0.000297232
82,181.285,0.67534,0.31956,0.93015,0.99822,1,0.995,0.76834,0.91571,0.33817,1.14326,0.000283085,0.000283085,0.000283085
83,183.496,0.64987,0.3132,0.93229,0.99823,1,0.995,0.76259,0.91973,0.32984,1.15026,0.000268938,0.000268938,0.000268938
84,185.704,0.67926,0.3122,0.92959,0.99835,1,0.995,0.76444,0.93217,0.32881,1.17774,0.000254791,0.000254791,0.000254791
85,187.902,0.65683,0.30866,0.91834,0.99824,1,0.995,0.76006,0.94787,0.34492,1.18765,0.000240644,0.000240644,0.000240644
86,190.121,0.65739,0.31013,0.92739,0.99831,1,0.995,0.75364,0.92604,0.33459,1.17067,0.000226497,0.000226497,0.000226497
